sent_id,sys_name,sys_type,orig_sent,simp_sent,grammaticality,meaning,simplicity,structural_simplicity
55,NTS-h1_default_model,NeuralSeq2Seq,"Giardia lamblia (synonymous with Lamblia intestinalis and Giardia duodenalis) is a flagellated protozoan parasite that colonises and reproduces in the small intestine, causing giardiasis.",Giardia lamblia (synonymous with Lamblia intestinalis and Giardia duodenalis) is a flagellated protozoan parasite.,5,2.666666667,1.666666667,1.666666667
56,NTS-h1_default_model,NeuralSeq2Seq,"Aside from this, Cameron has often worked in Christian-themed productions, among them the post-Rapture films Left Behind: The Movie, Left Behind II: Tribulation Force, and Left Behind: World at War, in which he plays Cameron ""Buck"" Williams.","Cameron has often worked in Christian-themed productions, among them the post-Rapture films Left Behind: the Movie, Left Behind II: Tribulation Force, and Left Behind: World at War, in which he plays Cameron ""Buck"" Williams.",4.666666667,4.333333333,0.333333333,0
57,NTS-h1_default_model,NeuralSeq2Seq,"This was the area east of the mouth of the Vistula River, later sometimes called ""Prussia proper"".","This was the area east of the mouth of the Vistula River, later sometimes called ""Prussia proper"".",5,5,0,0
58,NTS-h1_default_model,NeuralSeq2Seq,After graduation he returned to Yerevan to teach at the local Conservatory and later he was appointed artistic director of the Armenian Philarmonic Orchestra.,After graduation he returned to Yerevan to teach at the local Conservatory and later he was appointed artistic director of the Armenian Philarmonic Orchestra.,5,5,0,0
59,NTS-h1_default_model,NeuralSeq2Seq,"The story of Christmas is based on the biblical accounts given in the Gospel of Matthew, namely - and the Gospel of Luke, specifically -.","The story of Christmas is based on the Biblical accounts given in the Gospel of Matthew, namely - and the Gospel of Luke, specifically -.",4,5,0,0
60,NTS-h1_default_model,NeuralSeq2Seq,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate Behaviour.,5,5,0,0
61,NTS-h1_default_model,NeuralSeq2Seq,"So far the 'celebrity' episodes have included Vic Reeves, Nancy Sorrell, Gaby Roslin, Scott Mills, Mark Chapman, Simon Gregson, Sue Cleaver, Carol Thatcher, Paul O'Grady and Lee Ryan.","They have included Vic Reeves, Nancy Sorrell, Gaby Roslin, Scott Mills, Simon Gregson, Sue Cleaver, Carol Thatcher, Paul O 'Grady and Lee Ryan.",4.333333333,3,0.666666667,0.666666667
62,NTS-h1_default_model,NeuralSeq2Seq,"It was discovered by Stephen P. Synnott in images from the Voyager 1 space probe taken on March 5, 1979 while orbiting around Jupiter.","It was discovered by Stephen P. Synnott in images from the Voyager 1 space probe taken on March 5, 1979 while orbiting around Jupiter.",5,5,0,0
63,NTS-h1_default_model,NeuralSeq2Seq,"Gomaespuma was a Spanish radio show, hosted by Juan Luis Cano and Guillermo Fesser.","Gomaespuma was a Spanish radio show, hosted by Juan Luis Cano and Guillermo Fesser.",5,5,0,0
64,NTS-h1_default_model,NeuralSeq2Seq,"On 16 June 2009, the official release date of The Resistance was announced on the band's website.","On 16 June 2009, the official release date of The Resistance was announced on the band 's website.",4.333333333,5,0,0
65,NTS-h1_default_model,NeuralSeq2Seq,He is also a member of another Jungiery boyband 183 Club.,He is also a member of another Jungiery boyband 183 Club.,4,5,0,0
66,NTS-h1_default_model,NeuralSeq2Seq,"The Apostolic Tradition, attributed to the theologian Hippolytus, attests the singing of Hallel psalms with Alleluia as the refrain in early Christian agape feasts.",. Is the singing of Hallel Psalms.,2,1,0.333333333,0.333333333
67,NTS-h1_default_model,NeuralSeq2Seq,"In return, Rollo swore fealty to Charles, converted to Christianity, and undertook to defend the northern region of France against the incursions of other Viking groups.","In return, Rollo swore fealty to Charles, converted to Christianity.",4,2.666666667,1.666666667,1.666666667
68,NTS-h1_default_model,NeuralSeq2Seq,It is derived from Voice of America (VoA) Special English.,It is derived from Voice of America (VoA) Special English.,4.333333333,5,0,0
69,NTS-h1_default_model,NeuralSeq2Seq,"Disney received a full-size Oscar statuette and seven miniature ones, presented to him by 10-year-old child actress Shirley Temple.",It was presented to him by 10-year-old child actress Shirley Temple.,5,2.333333333,1,1
70,NTS-h1_default_model,NeuralSeq2Seq,It was the first asteroid to be discovered by a spacecraft.,It was the first asteroid to be discovered by a spacecraft.,5,5,0,0
1,NTS-h1_w2v_model,NeuralSeq2Seq,"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.","One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",5,5,0,0
2,NTS-h1_w2v_model,NeuralSeq2Seq,"Jeddah is the principal gateway to Mecca, Islam's holiest city, which able-bodied Muslims are required to visit at least once in their lifetime.","Jeddah is the main gateway to Mecca, Islam 's holiest city.",4.333333333,2.666666667,1.666666667,1
3,NTS-h1_w2v_model,NeuralSeq2Seq,The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.,The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.,5,5,0,0
4,NTS-h1_w2v_model,NeuralSeq2Seq,"His next work, Saturday, follows an especially eventful day in the life of a successful neurosurgeon.","His next work, Saturday, follows an especially eventful day in the life of a successful neurosurgeon.",4.666666667,5,0,0
5,NTS-h1_w2v_model,NeuralSeq2Seq,"The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.","The doves, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.",3,2.666666667,-0.333333333,-0.333333333
6,NTS-h1_w2v_model,NeuralSeq2Seq,"There he died six weeks later, on 13 January 888.","There he died six weeks later, on 13 January 888.",5,5,0,0
7,NTS-h1_w2v_model,NeuralSeq2Seq,They are culturally akin to the coastal peoples of Papua New Guinea.,They are called the coastal peoples of Papua New Guinea.,5,1.333333333,1,0.333333333
8,NTS-h1_w2v_model,NeuralSeq2Seq,"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",5,5,0,0
9,NTS-h1_w2v_model,NeuralSeq2Seq,"Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — choreography.",4,4.333333333,0.666666667,0.666666667
10,NTS-h1_w2v_model,NeuralSeq2Seq,"The spacecraft consists of two main elements: the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.","The spacecraft consists of two main elements: the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini.",2.666666667,2.666666667,1.333333333,1.333333333
11,NTS-h1_w2v_model,NeuralSeq2Seq,"Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former football player.","Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former football player.",4,5,0,0
12,NTS-h1_w2v_model,NeuralSeq2Seq,It was originally thought that the debris thrown up by the collision filled in the smaller craters.,It was originally thought that the debris thrown up by the collision filled in the smaller craters.,5,5,0,0
13,NTS-h1_w2v_model,NeuralSeq2Seq,"Graham attended Wheaton College from 1939 to 1943, when he graduated with a BA in anthropology.",Graham attended Wheaton College from 1939 to 1943.,5,2.666666667,1.333333333,1.333333333
14,NTS-h1_w2v_model,NeuralSeq2Seq,"However, the BZÖ differs a bit in comparison to the Freedom Party, as is in favor of a referendum about the Lisbon Treaty but against an EU-Withdrawal.","However, the BZÖ differs a bit in comparison to the Freedom Party, as is in favor of a referendum about the Lisbon Treaty but against an EU-Withdrawal.",4.333333333,5,0,0
15,NTS-h1_w2v_model,NeuralSeq2Seq,"Many species had vanished by the end of the nineteenth century, with European settlement.","Many species had vanished by the end of the nineteenth century, with European settlement.",5,5,0,0
16,NTS-h1_w2v_model,NeuralSeq2Seq,In 1987 Wexler was inducted into the Rock and Roll Hall of Fame.,In 1987 Wexler was inducted into the Rock and Roll Hall of Fame.,5,5,0,0
17,NTS-h1_w2v_model,NeuralSeq2Seq,"In its pure form, dextromethorphan occurs as a white powder.","In its pure form, dextromethorphan occurs as a white powder.",5,5,0,0
18,NTS-h1_w2v_model,NeuralSeq2Seq,Admission to Tsinghua is extremely competitive.,Admission to Tsinghua is extremely competitive.,4.666666667,5,0,0
19,NTS-h1_w2v_model,NeuralSeq2Seq,"Today NRC is organised as an independent, private foundation.","Today NRC is organised as an independent, private foundation.",5,5,0,0
20,NTS-h1_w2v_model,NeuralSeq2Seq,"It is situated at the coast of the Baltic Sea, where it encloses the city of Stralsund.","It is at the coast of the Baltic Sea, where it encloses the city of Stralsund.",4.333333333,5,1,0
21,NTS-h1_w2v_model,NeuralSeq2Seq,"He was also named 1982 ""Sportsman of the Year"" by Sports Illustrated.","He was also named 1982 ""Sportsman of the Year"" by Sports Illustrated.",5,5,0,0
22,NTS-h1_w2v_model,NeuralSeq2Seq,Fives is a British sport believed to derive from the same origins as many racquet sports.,Fives is a British sport believed to come from the same origins as many racquet sports.,4.666666667,5,0.333333333,0
23,NTS-h1_w2v_model,NeuralSeq2Seq,"For example, King Bhumibol was born on Monday, so on his birthday throughout Thailand will be decorated with yellow color.","For example, King Bhumibol was born on Monday, so on his birthday throughout Thailand will be decorated with yellow color.",4,5,0,0
24,NTS-h1_w2v_model,NeuralSeq2Seq,Both names became defunct in 2007 when they were merged into The National Museum of Scotland.,Both names became defunct in 2007 when they were merged into The National Museum of Scotland.,4.666666667,5,0,0
25,NTS-h1_w2v_model,NeuralSeq2Seq,"Nevertheless, Tagore emulated numerous styles, including craftwork from northern New Ireland, Haida carvings from the west coast of Canada (British Columbia), and woodcuts by Max Pechstein.","Nevertheless, Tagore emulated numerous styles, including craftwork from northern New Ireland, Haida carvings from the west coast of Canada (British Columbia), and woodcuts by Max Pechstein.",5,5,0,0
26,NTS-h1_w2v_model,NeuralSeq2Seq,"On October 14, 1960, Presidential candidate John F. Kennedy proposed the concept of what became the Peace Corps on the steps of Michigan Union.","On October 14, 1960, Presidential candidate John F. Kennedy proposed the concept of what became the Peace Corps on the steps of Michigan.",4,4,-0.333333333,-0.333333333
27,NTS-h1_w2v_model,NeuralSeq2Seq,"She performed for President Reagan in 1988's Great Performances at the White House series, which aired on the Public Broadcasting Service.","She performed for President Reagan in 1988 's Great Performances at the White House series, which aired on the Public Broadcasting Service.",5,5,0,0
28,NTS-h1_w2v_model,NeuralSeq2Seq,Perry Saturn (with Terri) defeated Eddie Guerrero (with Chyna) to win the WWF European Championship (8:10) Saturn pinned Guerrero after a Diving elbow drop.,Perry Saturn (with Terri) defeated Eddie Guerrero (with Chyna) to win the WWF European Championship (8: 10) Saturn pinned Guerrero after a Diving elbow drop.,4.333333333,5,0,0
29,NTS-h1_w2v_model,NeuralSeq2Seq,She remained in the United States until 1927 when she and her husband returned to France.,She remained in the United States until 1927 when she and her husband returned to France.,4.666666667,5,0,0
30,NTS-h1_w2v_model,NeuralSeq2Seq,"Despina was discovered in late July, 1989 from the images taken by the Voyager 2 probe.","Despina was discovered in late July, 1989 from the images taken by the Voyager 2 probe.",5,5,0,0
31,NTS-h1_w2v_model,NeuralSeq2Seq,The first Italian Grand Prix motor racing championship took place on 4 September 1921 at Brescia.,The first Italian Grand Prix motor racing championship took place on 4 September 1921 at Brescia.,4.666666667,5,0,0
32,NTS-h1_w2v_model,NeuralSeq2Seq,He also completed two collections of short stories entitled The Ribbajack & Other Curious Yarns and Seven Strange and Ghostly Tales.,He also completed two collections of short stories entitled The Ribbajack & Other Curious Yarns and Seven Strange and Ghostly Tales.,4.666666667,5,0,0
33,NTS-h1_w2v_model,NeuralSeq2Seq,"At the Voyager 2 images Ophelia appears as an elongated object, the major axis pointing towards Uranus.","At the Voyager 2 images Ophelia appears as an elongated object, the major axis pointing towards Uranus.",4,5,0,0
34,NTS-h1_w2v_model,NeuralSeq2Seq,The British decided to eliminate him and take the land by force.,The British decided to eliminate him and take the land by force.,4.666666667,5,0,0
35,NTS-h1_w2v_model,NeuralSeq2Seq,"Some towns on the Eyre Highway in the south-east corner of Western Australia, between the South Australian border almost as far as Caiguna, do not follow official Western Australian time.","Some towns on the Eyre Highway in the south-east corner of Western Australia, between the South Australian border almost as far as Caiguna, do not follow official Western Australian time.",5,5,0,0
36,NTS-h1_w2v_model,NeuralSeq2Seq,"In architectural decoration Small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.","In architectural decoration Small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.",4.333333333,5,0,0
37,NTS-h1_w2v_model,NeuralSeq2Seq,"The other incorporated cities on the Palos Verdes Peninsula include Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills.","The other incorporated cities on the Palos Verdes Peninsula include Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills.",5,5,0,0
38,NTS-h1_w2v_model,NeuralSeq2Seq,"Fearing that Drek will destroy the galaxy, Clank asks Ratchet to help him find the famous superhero Captain Qwark, in an effort to stop Drek.",Clank will destroy the galaxy.,4.666666667,1,1.666666667,1.666666667
39,NTS-h1_w2v_model,NeuralSeq2Seq,It is not actually a true louse.,It is not actually a true louse.,4.666666667,5,0,0
40,NTS-h1_w2v_model,NeuralSeq2Seq,He advocates applying a user-centered design process in product development cycles and also works towards popularizing interaction design as a mainstream discipline.,He advocates applying a user-centered design process in product development cycles and also works towards popularizing interaction design as a mainstream discipline.,5,5,0,0
41,NTS-h1_w2v_model,NeuralSeq2Seq,"It is theoretically possible that the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away they've never met in person.","It is possible that the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away they 've never met in person.",4.666666667,5,0.666666667,0.333333333
42,NTS-h1_w2v_model,NeuralSeq2Seq,Working Group I: Assesses scientific aspects of the climate system and climate change.,Working Group I: Assesses scientific aspects of the climate system and climate change.,5,5,0,0
43,NTS-h1_w2v_model,NeuralSeq2Seq,"The island chain forms part of the Hebrides, separated from the Scottish mainland and from the Inner Hebrides by the stormy waters of the Minch, the Little Minch and the Sea of the Hebrides.","The island chain forms part of the Hebrides, separated from the Scottish mainland and from the Inner Hebrides by the stormy waters of the Minch, the Little Minch and the Sea of the Hebrides.",5,5,0,0
44,NTS-h1_w2v_model,NeuralSeq2Seq,"Orton and his wife welcomed Alanna Marie Orton on July 12, 2008.","Orton and his wife welcomed Alanna Marie Orton on July 12, 2008.",5,5,0,0
45,NTS-h1_w2v_model,NeuralSeq2Seq,"Formal minor planet designations are number-name combinations overseen by the Minor Planet Center, a branch of the IAU.",It is a branch of the IAU.,3.333333333,2.333333333,1.666666667,1.666666667
46,NTS-h1_w2v_model,NeuralSeq2Seq,"By early on September 30, wind shear began to dramatically increase and a weakening trend began.","By early on September 30, wind shear began to dramatically increase and a weakening trend began.",4.666666667,5,0,0
47,NTS-h1_w2v_model,NeuralSeq2Seq,Each entry has a datum (a nugget of data) which is a copy of the datum in some backing store.,Each entry has a datum (a nugget of data) which is a copy of the datum in some backing store.,4.666666667,5,0,0
